id,name,host_id,host_name,neighbourhood,postcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,availability_365
11354784,"Large family/group room 4-5 
One double  3 singles",23751773,Jane,Easton,Bs56ej,51.4678204969,-2.5562992696,House,Private room,5,1,1,3,35,1,50,2018-11-16,1.53,87,9,10,10,9,9,9,2,325
11382588,Bright Spacious Stylish Family Home,10984783,Jerry,Bishopston & Ashley Down,BS7,51.4806480909,-2.596459045,House,Entire home/apt,6,1.5,3,4,149,5,4,2017-12-27,0.13,100,10,10,10,10,10,9,1,36
11393186,Double room twin beds,30760760,Susy,Ashley,BS6,51.4688587536,-2.587779192,House,Private room,2,3,1,2,35,2,4,2018-10-31,0.15,100,10,10,10,10,10,10,2,333
11395576,Double bedroom with ensuite bath,33801004,Jessica,Bedminster,BS3,51.4409353944,-2.6029846601,House,Private room,2,1,1,1,35,100,29,2017-04-13,0.88,98,10,10,10,10,9,10,1,149
11396876,Modern double bedroom with bathroom,38922614,Rob,Hotwells & Harbourside,BS1 5SW,51.4489542548,-2.6045180991,Apartment,Private room,2,1,1,1,45,1,3,2016-04-29,0.09,93,9,9,9,9,9,9,1,0
11410008,Brandon Hill City Centre Location,36291435,Sarah,Hotwells & Harbourside,BS1 5RR,51.4545066202,-2.6028121296,Apartment,Private room,2,1,1,1,60,1,0,,,,,,,,,,1,0
11417033,Three Bed Maisonette near Temple Meads Station,35362588,Claire And Jason,Brislington West,BS4 3JU,51.4396700584,-2.5599227274,Apartment,Entire home/apt,6,1,3,4,49,1,206,2018-11-12,6.22,95,10,10,10,10,9,10,1,288
11444771,City apartment,60164917,Elisabeth,Bishopston & Ashley Down,BS7 9BF,51.4769806095,-2.5787644792,Apartment,Entire home/apt,2,2,1,1,54,2,5,2016-05-22,0.15,100,10,10,10,10,10,10,1,0
11451676,Bohemian Georgian Luxury in Centre,18414383,Jess,Hotwells & Harbourside,BS1 5PZ,51.4538209853,-2.6040562383,House,Private room,4,1,1,1,55,4,33,2018-06-29,1,99,10,10,10,10,10,10,2,77
11485649,Charming 1 bed flat in Clifton,42821577,Jess,Clifton Down,BS82LX,51.4627964481,-2.605793988,Apartment,Entire home/apt,2,1,1,1,60,2,48,2018-01-05,1.57,97,10,10,10,10,10,9,1,0
11505479,Cleyro Apartments - Finzels Reach 1 Bedroom Deluxe,60611927,Daniel,Central,BS1 6FS,51.4554534789,-2.5874532154,Apartment,Entire home/apt,2,1,1,1,109,1,9,2017-10-29,0.3,87,9,10,10,9,10,9,6,365
11515357,Cottage in Clifton Village,14130227,Anita,Clifton,BS8 4DA,51.4545180775,-2.6239217818,Townhouse,Entire home/apt,4,1,2,4,100,2,58,2018-11-11,1.87,99,10,10,10,10,10,9,1,319
11529140,Room in Victorian house in vibrant Southville,60676521,Sharon,Southville,BS3 1NU,51.4426791625,-2.6057508457,Townhouse,Private room,1,1,1,1,35,1,132,2018-10-28,4.07,97,10,10,10,10,10,10,2,340
11543241,Victoria Square in Clifton Village,60902114,Quentin,Clifton,BS8 4ET,51.4564035379,-2.6166602403,Apartment,Entire home/apt,4,1,2,2,99,2,75,2018-11-04,2.42,99,10,10,10,10,10,10,1,189
11545539,"Mezzanine bed, kitchenette,study!",31999039,Anita,Easton,BS5 6NF,51.4679927907,-2.5660608358,Townhouse,Private room,2,1,1,1,26,2,20,2018-10-03,0.61,90,10,9,10,10,9,10,5,118
11562171,Bright fourth floor room,16720167,Tina,Hotwells & Harbourside,BS1 5JW,51.4502269881,-2.601705755,Apartment,Private room,2,1,1,1,31,2,165,2018-11-07,5.04,98,10,10,10,10,10,10,1,7
11620357,Stunning apartment in great location,61538404,Lindon,Cotham,BS6,51.465138312,-2.6018365651,Apartment,Entire home/apt,4,1,2,2,79,4,20,2018-10-24,0.94,95,10,10,10,10,10,10,1,112
11655698,"Rear Garden View, Large Bedroom with King Size Bed",53473700,Jon,Brislington West,BS4 3JZ,51.4377504199,-2.5583332035,House,Private room,2,1,1,1,36,2,36,2018-10-28,1.15,96,10,10,10,10,10,10,1,263
11676688,Large light and homely master bedroom in Easton,29264344,Sarah,Lawrence Hill,BS5 6AF,51.4622875716,-2.5637156742,House,Private room,2,1,1,1,28,2,19,2018-10-25,0.58,96,10,9,10,10,9,10,3,64
11691289,Double room in Redland.,1288458,Robin,Redland,BS6 7HE,51.4718394572,-2.6037413022,Loft,Private room,2,1,1,1,38,1,59,2018-07-01,1.82,99,10,10,10,10,10,10,1,12
11717492,Quiet charming Clifton apartment,58810724,Wendy,Clifton,BS8 4LX,51.452314282,-2.6227684482,Apartment,Entire home/apt,2,1,1,1,75,2,199,2018-11-13,6.14,99,10,10,10,10,10,10,1,256
11720290,Cosy large light double room in Easton,29264344,Sarah,Easton,BS5 6AF,51.463893989,-2.5626138128,House,Private room,2,1,1,1,28,1,34,2018-11-11,1.06,97,10,10,10,10,9,10,3,360
11735084,"Period Victorian house, big garden, no parties.",17511373,Emelye,Knowle,BS4,51.4356919698,-2.568035114,Townhouse,Entire home/apt,6,2.5,3,4,226,1,51,2018-10-07,1.61,96,10,10,10,10,9,9,2,188
11740175,Bristol skyline room Montpelier,8521301,Zowie,Ashley,BS65EW,51.4666715876,-2.5863135105,Apartment,Private room,2,1,1,1,40,2,153,2018-11-04,5.11,97,10,10,10,10,10,10,2,147
11749764,The Hipster Side of Town,58079654,Paul,Bedminster,BS3 3AH,51.4387784231,-2.6083723578,House,Private room,2,1,1,2,28,2,45,2018-10-21,1.5,87,9,8,10,10,9,9,2,56
11786464,Groovy spacious double room Easton,31999039,Anita,Easton,BS5 6NF,51.4696152869,-2.5658730448,Townhouse,Private room,2,1,1,1,29,2,35,2018-10-14,1.1,91,9,9,10,10,9,9,5,119
11822841,"Georgian home on iconic crescent, Clifton Village",23391297,Beth,Clifton,BS8 4JU,51.4550599378,-2.6199200407,Apartment,Entire home/apt,4,2,1,1,75,2,33,2018-11-11,1.03,98,10,10,10,10,10,10,1,96
11831594,AirBS3 ★Vegan Home★ Gorgeous Views | Free Parking,47301229,Laura,Bishopsworth,BS3 5NQ,51.4308688399,-2.6093549152,House,Private room,2,1,1,2,27,1,49,2018-05-13,2.26,99,10,10,10,10,10,10,1,0
11843503,"Peaceful, Sunny Tiny House in Montpelier",3481599,Mair,Ashley,BS6 5PY,51.4644934982,-2.5869265726,Tiny house,Entire home/apt,2,1,1,1,60,2,15,2018-05-15,0.51,99,10,10,10,10,10,9,1,0
11859584,Light and Spacious Flat in Clifton,54467250,Alice,Clifton,BS8 1JL,51.4564953533,-2.6115685253,Apartment,Entire home/apt,2,1,1,1,82,1,21,2018-11-04,0.71,96,10,9,10,10,10,9,1,359
11864632,Comfortable and Clean Flat - Great Location,10680012,Cath,Ashley,BS6 5AJ,51.4711478112,-2.5915696896,Apartment,Entire home/apt,4,1,1,2,70,1,305,2018-11-15,10.19,98,10,10,10,10,10,10,1,338
11870221,Georgian flat in Clifton village,63283559,Joanna,Clifton,BS8 4JX,51.4539237593,-2.62261368,Apartment,Entire home/apt,4,2,2,2,140,4,27,2018-11-03,0.97,97,10,9,10,10,10,10,1,0
11877786,Studio flat in The heart of Clifton,29683545,Sylvie,Clifton,BS8 4ED,51.4580085273,-2.6185317113,Apartment,Entire home/apt,1,1,0,1,56,2,72,2018-08-12,2.26,91,9,9,9,9,10,9,1,335
